Block Height,Price
887540,13.53
887500,13.73
887460,13.64
887420,13.6481
887390,13.6556
887380,13.7523
887370,13.8208
887220,13.6556
887170,13.551
887150,13.54
887120,13.52
887110,13.473
887070,13.4219
887010,13.42092
886990,13.41376
886950,13.473
886900,13.57184
886880,13.66
886840,13.70314
886800,13.83
886700,13.5389
886690,13.5153
886640,13.56
886610,13.6034
886560,13.6055
886520,13.57
886460,13.473
886430,13.43
886410,13.47
886400,13.5118
886390,13.5347
886380,13.54
886340,13.56958
886330,13.56755
886320,13.5494
886300,13.54238
886290,13.57738
886280,13.5838
886260,13.5985
886170,13.61
886130,13.732
886120,13.76525
886100,13.74025
886090,13.745
886080,13.7401
886050,13.73395
886040,13.73895
886030,13.8367
886000,13.890085
885980,13.8932
885970,13.8982
885950,13.9132
885930,13.82675
885910,13.704
885840,13.70225
885770,13.611395
885730,13.536245
885690,13.5342
885650,13.3185
885610,13.2742
885540,13.179155
885530,13.17545
885520,13.1558
885510,13.1842
885500,13.17965
885490,13.1753
885470,13.16915
885440,13.146455
885420,13.135455
885380,13.15275
885370,13.15295
885360,13.15275
885350,13.16955
885340,13.173115
885330,13.148515
885250,13.13
885240,13.11055
885230,13.1294
885220,13.11382
885200,13.08167
885190,13.05882
885170,13.11767
885160,13.05882
885150,13.06172
885140,13.09962
885120,13.06172
885110,13.16545
885090,13.21
885080,13.22215
885050,13.248725
885040,13.2352
885030,13.222615
884980,13.240465
884970,13.27
884960,13.236735
884950,13.15245
884940,13.161735
884930,13.1573
884900,13.12
884860,13.339595
884850,13.326515
884840,13.315715
884830,13.312565
884810,13.292865
884800,13.311715
884790,13.302045
884770,13.0995
884760,13.035
884750,12.971875
884740,12.951875
884730,12.971875
884720,13.01
884710,12.971875
884690,13.00664
884680,12.99
884660,13.00664
884650,13.0305
884620,12.99355
884570,12.99
884530,13.15
884520,13.1436
884510,13.15
884500,13.203
884480,13.18945
884430,13.2145
884400,13.22
884390,13.2145
884380,13.2473
884300,13.275
884280,13.21579
884270,13.22629
884250,13.22294
884230,13.21579
884210,13.235405
884200,13.265055
884190,13.254355
884170,13.248905
884160,13.2395
884150,13.26
884140,13.22805
884120,13.329665
884100,13.30465
884090,13.28105
884080,13.3
884070,13.31
884060,13.25896
884050,13.28255
884040,13.31475
884030,13.406055
884020,13.412955
884000,13.487
883990,13.536215
883980,13.67585
883970,13.666
883960,13.615
883950,13.52775
883940,13.4947
883930,13.40785
883920,13.33238
883910,13.4441
883900,13.535
883890,13.57725
883880,13.565
883870,13.60362
883860,13.7114
883850,13.7564
883840,13.84
883820,13.77
883810,13.68035
883790,13.511845
883780,13.47159
883770,13.41
883760,13.41305
883740,13.41
883730,13.3327
883720,13.34705
883700,13.49179
883680,13.51
883650,13.6592
883640,13.66775
883630,13.6052
883620,13.61445
883610,13.62
883600,13.61585
883580,13.62
883560,13.73665
883550,13.77193
883540,13.76435
883520,13.6708
883510,13.7044
883500,13.7079
883490,13.7311
883480,13.77056
883470,13.76996
883460,13.7615
883440,13.7544
883420,13.66136
883410,13.65636
883390,13.53941
883370,13.498705
883350,13.46305
883340,13.44
883330,13.437
883320,13.44
883280,13.35
883270,13.3202
883240,13.27271
883220,13.265
883190,13.385735
883170,13.39
883140,13.40405
883120,13.39
883110,13.285775
883100,13.2752
883090,13.285775
883070,13.27405
883060,13.294275
883050,13.299275
883040,13.294275
883030,13.31255
883000,13.295
882990,13.3055
882980,13.306285
882970,13.295
882950,13.361285
882940,13.415
882930,13.43388
882920,13.51275
882910,13.4984
882900,13.49623
882890,13.565
882860,13.784915
882850,13.737335
882840,13.711285
882820,13.535
882810,13.51465
882800,13.51
882790,13.525
882780,13.54
882760,13.51699
882750,13.5051
882740,13.50625
882730,13.4965
882700,13.49082
882690,13.43922
882680,13.36565
882640,13.255
882630,13.223615
882600,13.208615
882550,13.202745
882540,13.180425
882450,13.145425
882440,13.155
882430,13.212205
882410,13.287605
882370,13.300225
882350,13.3254
882320,13.34331
882300,13.33931
882270,13.29
882260,13.2516
882210,13.21
882180,13.340275
882170,13.35266
882140,13.3109
882070,13.277505
882060,13.288405
881560,12.49485
881530,12.5183
881490,12.54
881440,12.6181
881410,12.62
881400,12.62816
881370,12.58
881360,12.57
881310,12.52
881290,12.59
881250,12.58578
